ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3083254,HJ808733,12/09/2003 09:50:00 PM,037XX W EASTWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,1723,017,39,14,07,1150465,1930637,2003,02/28/2018 03:56:25 PM,41.965571654,-87.722158375,"(41.965571654, -87.722158375)"
3083751,HJ803398,12/06/2003 06:05:00 PM,061XX S CAMPBELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0825,008,15,66,14,1160757,1863860,2003,02/28/2018 03:56:25 PM,41.782121668,-87.686168008,"(41.782121668, -87.686168008)"
3086088,HJ699071,10/17/2003 04:40:00 PM,001XX N LA CROSSE AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,true,false,1532,015,28,25,18,1144015,1900789,2003,02/28/2018 03:56:25 PM,41.883789557,-87.746624787,"(41.883789557, -87.746624787)"
3086168,HJ807842,12/09/2003 01:25:00 PM,007XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1833,018,42,8,06,1177294,1905494,2003,02/10/2018 03:50:01 PM,41.896010965,-87.624279065,"(41.896010965, -87.624279065)"
3087480,HJ810577,12/10/2003 06:48:00 PM,001XX E 119TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0532,005,9,53,26,1179397,1825761,2003,02/10/2018 03:50:01 PM,41.67716799,-87.618988294,"(41.67716799, -87.618988294)"
3088259,HJ812831,12/06/2003 09:30:00 AM,015XX N WIELAND ST,0890,THEFT,FROM BUILDING,GOVERNMENT BUILDING/PROPERTY,false,false,1821,018,27,8,06,1174151,1910607,2003,02/28/2018 03:56:25 PM,41.910111995,-87.635669807,"(41.910111995, -87.635669807)"
3089845,HJ816195,11/10/2003 06:30:00 AM,040XX W MELROSE ST,0560,ASSAULT,SIMPLE,STREET,false,false,1731,017,31,16,08A,1148990,1921306,2003,02/28/2018 03:56:25 PM,41.939995411,-87.727824074,"(41.939995411, -87.727824074)"
3092276,HJ817408,12/14/2003 01:06:41 PM,046XX S LAMON AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",false,false,0814,008,23,56,26,1144475,1873353,2003,02/10/2018 03:50:01 PM,41.808492764,-87.74562506,"(41.808492764, -87.74562506)"
3092998,HJ816597,12/14/2003 12:55:00 AM,069XX S THROOP ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,0734,007,17,67,14,1168857,1858762,2003,02/28/2018 03:56:25 PM,41.767960994,-87.656618275,"(41.767960994, -87.656618275)"
3097966,HJ815935,12/13/2003 05:30:00 PM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1834,018,42,8,06,1177309,1904931,2003,02/28/2018 03:56:25 PM,41.894465726,-87.624241063,"(41.894465726, -87.624241063)"
3099556,HJ829758,12/20/2003 10:34:50 PM,059XX N BROADWAY,0460,BATTERY,SIMPLE,SIDEWALK,true,false,2433,024,48,77,08B,1167223,1939815,2003,02/28/2018 03:56:25 PM,41.990411804,-87.660277737,"(41.990411804, -87.660277737)"
3100171,HJ831628,12/16/2003 06:00:00 PM,020XX W LE MOYNE ST,0810,THEFT,OVER $500,STREET,false,false,1424,014,1,24,06,1162569,1909834,2003,02/28/2018 03:56:25 PM,41.908241453,-87.678238993,"(41.908241453, -87.678238993)"
3100502,HJ831894,09/10/2002 12:00:00 AM,020XX W 70TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0735,007,17,67,06,1164034,1858234,2002,02/28/2018 03:56:25 PM,41.766614858,-87.674311663,"(41.766614858, -87.674311663)"
