ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10342577,HY498912,11/12/2015 01:06:00 PM,056XX S LAFLIN ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,true,false,0713,007,16,67,18,,,2015,07/16/2016 03:45:53 PM,,,
11643819,JC209945,05/03/2016 10:10:00 AM,029XX W LEXINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1135,011,28,27,11,,,2016,04/04/2019 04:16:11 PM,,,
2384746,HH695320,10/06/2002 01:00:00 AM,058XX S FAIRFIELD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0824,008,16,63,26,,,2002,08/17/2015 03:03:40 PM,,,
3377585,HK427770,06/12/2004 11:00:00 PM,012XX W GREENLEAF AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,GOVERNMENT BUILDING/PROPERTY,false,false,2423,024,49,1,26,,,2004,08/17/2015 03:03:40 PM,,,
4796277,HM410867,07/26/2005 11:00:00 AM,012XX W DIVISION ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1433,014,32,24,07,,,2005,08/17/2015 03:03:40 PM,,,
6273223,HP362420,05/29/2008 12:00:00 AM,015XX E 76TH ST,0560,ASSAULT,SIMPLE,STREET,false,false,0411,004,5,43,08A,,,2008,08/17/2015 03:03:40 PM,,,
2052150,HH264876,03/25/2002 04:00:00 PM,063XX S KING DR,0810,THEFT,OVER $500,DRUG STORE,true,false,0312,003,,,06,,,2002,02/04/2016 06:33:39 AM,,,
1478974,G209758,04/12/2001 02:00:00 AM,033XX S STEWART AV,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,009,,,14,,,2001,08/17/2015 03:03:40 PM,,,
1701640,G497002,08/11/2001 02:30:00 AM,004XX W HUBBARD ST,0820,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,false,false,1831,018,,,06,,,2001,08/17/2015 03:03:40 PM,,,
2278871,HH493971,07/07/2002 08:00:00 PM,006XX S FRANCISCO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1135,011,2,27,18,,,2002,08/17/2015 03:03:40 PM,,,
2364242,HH659654,09/20/2002 12:08:22 AM,033XX W ARMITAGE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1413,014,35,22,16,,,2002,08/17/2015 03:03:40 PM,,,
2912619,HJ573314,08/19/2003 06:45:00 PM,035XX W GRAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1121,011,27,23,18,,,2003,08/17/2015 03:03:40 PM,,,
5992732,HP100582,12/01/2005 12:00:00 PM,041XX W VAN BUREN ST,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,RESIDENCE,false,false,1132,011,24,26,11,,,2005,08/17/2015 03:03:40 PM,,,
6559918,HP629373,10/14/2008 02:00:00 PM,006XX W ADDISON ST,0870,THEFT,POCKET-PICKING,STREET,false,false,2323,019,46,6,06,,,2008,08/17/2015 03:03:40 PM,,,
6788443,HR201337,03/05/2009 01:00:00 AM,063XX N MCCORMICK RD,0560,ASSAULT,SIMPLE,BANK,false,false,0733,007,17,,08A,,,2009,08/17/2015 03:03:40 PM,,,
10572689,HZ319995,06/07/2016 01:48:00 PM,010XX S WABASH AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0123,001,2,32,06,,,2016,06/24/2016 03:51:41 PM,,,
10553471,HZ299766,10/15/2015 10:00:00 AM,098XX S AVENUE N,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,false,false,0432,004,10,52,14,,,2015,06/09/2016 03:53:36 PM,,,
11129740,JA486092,12/24/2001 12:00:00 AM,027XX N WESTERN AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,true,false,1411,014,32,22,17,,,2001,10/27/2018 04:00:07 PM,,,
11167908,JA536115,07/28/2015 12:00:00 AM,025XX E 74TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,0334,003,7,43,11,,,2015,12/05/2017 04:02:56 PM,,,
11171426,JA539496,06/15/2015 12:00:00 PM,054XX N EAST RIVER RD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1614,016,41,76,11,,,2015,12/08/2017 03:56:28 PM,,,
10674045,HZ425961,08/24/2013 09:00:00 AM,028XX W WARREN BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1222,012,2,27,11,,,2013,09/09/2016 03:51:29 PM,,,
2065109,HH280482,04/02/2002 10:15:00 AM,087XX S MARSHFIELD AV,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2221,022,,,18,,,2002,08/17/2015 03:03:40 PM,,,
2195083,HH455926,06/20/2002 02:00:00 AM,011XX W ALBION AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2432,024,49,1,06,,,2002,08/17/2015 03:03:40 PM,,,
2407662,HH722626,10/18/2002 08:00:00 AM,059XX W CORTLAND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2531,025,29,25,07,,,2002,08/17/2015 03:03:40 PM,,,
1657898,G446205,07/27/2001 01:30:00 PM,035XX S LAKE SHORE DR,0810,THEFT,OVER $500,PARK PROPERTY,false,false,2122,002,,,06,,,2001,08/17/2015 03:03:40 PM,,,
4822378,HM435859,06/25/2005 03:00:00 AM,064XX W WABANSIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,2513,025,36,25,14,,,2005,08/17/2015 03:03:40 PM,,,
4889810,HM498762,12/24/2005 12:01:00 AM,004XX E 81ST ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,0631,006,6,44,10,,,2005,08/17/2015 03:03:40 PM,,,
8171497,HR492513,08/13/2009 01:00:00 PM,082XX S PEORIA ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0613,006,21,71,06,,,2009,08/17/2015 03:03:40 PM,,,
10232541,HY420131,09/11/2015 09:40:00 PM,018XX S ALBANY AVE,0870,THEFT,POCKET-PICKING,PARK PROPERTY,false,false,1022,010,24,29,06,,,2015,09/24/2015 07:50:13 PM,,,
1941300,HH119181,01/11/2002 02:30:00 AM,003XX S BELL AV,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1211,012,,,18,,,2002,08/17/2015 03:03:40 PM,,,
1994239,HH182614,02/12/2002 01:15:00 PM,030XX W ROOSEVELT RD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1134,011,,,18,,,2002,08/17/2015 03:03:40 PM,,,
2049081,HH266404,03/13/2002 05:00:00 PM,006XX N MICHIGAN AV,0810,THEFT,OVER $500,MEDICAL/DENTAL OFFICE,false,false,1834,018,,,06,,,2002,08/17/2015 03:03:40 PM,,,
2286349,HH569609,08/09/2002 06:30:00 PM,001XX S LA SALLE ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,0112,001,42,32,07,,,2002,08/17/2015 03:03:40 PM,,,
2347476,HH647512,09/13/2002 09:00:00 AM,034XX N CLARK ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1924,019,44,6,06,,,2002,08/17/2015 03:03:40 PM,,,
2787581,HJ432864,06/11/2003 09:00:00 PM,014XX W WEBSTER AVE,0890,THEFT,FROM BUILDING,MOVIE HOUSE/THEATER,false,false,1811,018,32,7,06,,,2003,08/17/2015 03:03:40 PM,,,
2787955,HJ433499,06/14/2003 06:00:00 PM,073XX S HARVARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,0731,007,17,69,08B,,,2003,08/17/2015 03:03:40 PM,,,
3177307,HK181309,02/13/2004 04:15:00 PM,050XX S LAKE SHORE DR W,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,2132,002,4,39,26,,,2004,08/17/2015 03:03:40 PM,,,
4486638,HL785624,12/03/2005 07:00:00 PM,072XX S PHILLIPS AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0334,003,7,43,06,,,2005,08/17/2015 03:03:40 PM,,,
5296134,HN157738,01/28/2005 12:00:00 AM,040XX S ARTESIAN AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,true,false,0914,009,12,58,02,,,2005,08/17/2015 03:03:40 PM,,,
6519077,HP567401,09/12/2008 11:11:00 AM,088XX S MORGAN ST,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,true,false,2222,022,21,71,18,,,2008,08/17/2015 03:03:40 PM,,,
6804621,HR215514,03/14/2009 12:00:00 AM,027XX N KIMBALL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1412,014,35,22,06,,,2009,08/17/2015 03:03:40 PM,,,
6228224,HP311548,11/03/2006 09:00:00 AM,080XX S EUCLID AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0414,004,8,46,26,,,2006,08/17/2015 03:03:40 PM,,,
6488511,HP565438,09/11/2008 09:30:00 AM,032XX W ARMITAGE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,true,false,1421,014,35,22,26,,,2008,08/17/2015 03:03:40 PM,,,
6567380,HP639773,08/01/2004 12:01:00 AM,118XX S PARNELL AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,0524,005,34,53,02,,,2004,08/17/2015 03:03:40 PM,,,
6599884,HP673944,11/08/2008 09:30:00 PM,053XX N CHRISTIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1712,017,39,13,14,,,2008,08/17/2015 03:03:40 PM,,,
6616505,HP675833,11/10/2008 02:05:00 PM,063XX S CALIFORNIA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0825,008,15,66,18,,,2008,08/17/2015 03:03:40 PM,,,
6638622,HP711854,10/26/2008 12:00:00 AM,011XX W OAKDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,1932,019,44,6,14,,,2008,08/17/2015 03:03:40 PM,,,
6704345,HM192702,02/21/2006 01:00:00 PM,108XX S EDBROOKE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0513,005,9,49,18,,,2006,08/17/2015 03:03:40 PM,,,
10150680,HY297271,06/11/2015 06:15:57 PM,069XX S PAULINA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,0735,007,17,67,18,,,2015,02/09/2018 03:44:29 PM,,,
6841322,HR210082,03/11/2009 01:00:00 AM,059XX S ROCKWELL ST,2027,NARCOTICS,POSS: CRACK,VEHICLE NON-COMMERCIAL,true,false,0824,008,16,66,18,,,2009,08/17/2015 03:03:40 PM,,,
10383368,HZ119963,12/10/2015 10:00:00 PM,016XX N LA SALLE DR,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,1814,018,43,7,02,,,2015,02/09/2018 03:44:29 PM,,,
10518452,HZ260458,10/01/2015 08:00:00 AM,002XX W MERCHANDISE MART PLZ,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,1831,018,42,8,11,,,2015,02/09/2018 03:44:29 PM,,,
7130033,HR460433,08/01/2009 03:50:00 PM,075XX S RACINE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),true,false,0612,006,17,71,18,,,2009,08/17/2015 03:03:40 PM,,,
7444122,HS245764,09/28/2006 12:00:00 PM,041XX W WASHINGTON BLVD,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,1115,011,28,26,06,,,2006,08/17/2015 03:03:40 PM,,,
7555266,HS355981,10/02/2008 12:00:00 AM,027XX W WINNEMAC AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,true,true,2031,020,40,4,20,,,2008,08/17/2015 03:03:40 PM,,,
7779112,HS586876,01/01/2008 12:01:00 AM,016XX W WASECA PL,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,false,false,2234,022,34,75,06,,,2008,08/17/2015 03:03:40 PM,,,
8123837,HT358171,05/21/2008 09:00:00 AM,032XX W MAYPOLE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,1123,011,28,27,06,,,2008,08/17/2015 03:03:40 PM,,,
9725134,HX320763,05/29/2004 12:00:00 AM,026XX W LITHUANIAN PLAZA CT,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,true,true,0831,008,18,66,02,,,2004,08/31/2015 03:38:55 PM,,,
1981650,HH170435,02/06/2002 11:24:45 AM,002XX W 108 PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0513,005,,,18,,,2002,02/04/2016 06:33:39 AM,,,
2034869,HH249313,03/17/2002 07:00:00 PM,002XX E 136 ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0533,005,,,14,,,2002,02/04/2016 06:33:39 AM,,,
10838244,JA140495,12/28/2016 09:00:00 AM,016XX N LA SALLE DR,0810,THEFT,OVER $500,RESIDENCE,false,false,1814,018,43,7,06,,,2016,03/02/2017 03:52:34 PM,,,
11298349,JB241184,01/01/2004 12:01:00 AM,068XX S MERRILL AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,0331,003,5,43,02,,,2004,05/05/2018 03:54:51 PM,,,
11337251,JB292590,06/03/2018 10:30:00 PM,011XX N SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1211,012,26,24,06,,,2018,06/10/2018 03:50:33 PM,,,
11370423,JB336479,01/01/2011 12:01:00 AM,057XX N ORIOLE AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,true,true,1612,016,41,10,02,,,2011,09/05/2018 03:57:10 PM,,,
9629769,HX267480,05/16/2014 11:58:00 AM,0000X W 111TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),VEHICLE NON-COMMERCIAL,true,false,0513,005,34,49,18,,,2014,09/08/2018 04:01:32 PM,,,
11456975,JB449293,12/19/2016 12:00:00 PM,019XX W 95TH ST,0810,THEFT,OVER $500,WAREHOUSE,false,false,2213,022,19,72,06,,,2016,09/25/2018 04:14:11 PM,,,
11495651,JB500561,04/01/2017 06:00:00 AM,005XX E 51ST ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,HOSPITAL BUILDING/GROUNDS,false,false,0223,002,3,38,17,,,2017,11/03/2018 04:10:06 PM,,,
11538495,JB557379,12/17/2018 12:36:00 PM,048XX W MADISON ST,0810,THEFT,OVER $500,GAS STATION,false,false,1533,015,28,25,06,,,2018,12/24/2018 04:07:53 PM,,,
11695655,JC273549,05/22/2019 05:00:00 AM,027XX W MONTROSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1724,017,33,14,14,1157149,1929112,2019,06/30/2019 03:56:27 PM,41.961253506,-87.697624244,"(41.961253506, -87.697624244)"
11699194,JC277759,05/23/2019 01:30:00 PM,007XX N KILBOURN AVE,0820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,false,false,1111,011,28,23,06,1145853,1904607,2019,06/30/2019 03:56:27 PM,41.894231904,-87.739778427,"(41.894231904, -87.739778427)"
11700785,JC279663,05/26/2019 04:40:00 PM,057XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ABANDONED BUILDING,true,false,0713,007,16,67,15,1167317,1866688,2019,06/30/2019 03:56:27 PM,41.789744044,-87.662036291,"(41.789744044, -87.662036291)"
11701185,JC279990,05/26/2019 10:08:00 PM,027XX S TRIPP AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1031,010,22,30,15,1148495,1885544,2019,06/30/2019 03:56:27 PM,41.841870193,-87.730566695,"(41.841870193, -87.730566695)"
11702332,JC280172,05/27/2019 01:55:00 AM,003XX W CHICAGO AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1823,018,27,8,08B,1173942,1905667,2019,06/30/2019 03:56:27 PM,41.896561044,-87.636584978,"(41.896561044, -87.636584978)"
11706136,JC286049,05/30/2019 08:00:00 PM,079XX S DREXEL AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0624,006,8,44,08A,1183608,1852595,2019,06/30/2019 03:56:27 PM,41.750706929,-87.602741498,"(41.750706929, -87.602741498)"
11707363,JC287587,06/01/2019 10:55:00 AM,104XX S WALLACE ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,2233,022,34,49,26,1174146,1835753,2019,06/30/2019 03:56:27 PM,41.704705434,-87.637913189,"(41.704705434, -87.637913189)"
11712692,JC294107,06/06/2019 12:21:00 AM,0000X W 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,true,false,0623,006,6,44,26,1177483,1852629,2019,06/30/2019 03:56:27 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
10950190,JA269830,05/18/2017 08:38:00 PM,013XX W JACKSON BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,1231,012,27,28,26,1167490,1898755,2017,06/17/2019 04:07:59 PM,41.877735349,-87.660480953,"(41.877735349, -87.660480953)"
11712932,JC294445,06/06/2019 12:00:00 AM,076XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0624,006,6,69,14,1180566,1854513,2019,06/30/2019 03:56:27 PM,41.756040473,-87.613829953,"(41.756040473, -87.613829953)"
11715171,JC297199,06/08/2019 06:25:00 AM,021XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,CHA APARTMENT,false,false,1225,012,27,28,08A,1162020,1898670,2019,06/30/2019 03:56:27 PM,41.877618019,-87.680567743,"(41.877618019, -87.680567743)"
11716394,JC298751,06/09/2019 04:00:00 AM,059XX W DICKENS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,FARM,false,false,2515,025,29,19,14,1136529,1913182,2019,06/30/2019 03:56:27 PM,41.917934648,-87.773817687,"(41.917934648, -87.773817687)"
11719683,JC302624,06/11/2019 11:50:00 PM,002XX W 95TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,false,false,0634,006,21,49,14,1176493,1841948,2019,06/30/2019 03:56:27 PM,41.721653039,-87.629133304,"(41.721653039, -87.629133304)"
11719394,JC302386,06/11/2019 08:23:00 PM,062XX N BELL AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2413,024,50,2,03,1160181,1941549,2019,06/30/2019 03:56:27 PM,41.995318908,-87.686131495,"(41.995318908, -87.686131495)"
11723266,JC307124,06/15/2019 04:00:00 AM,073XX N HOYNE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,2424,024,49,1,03,1160973,1948868,2019,06/30/2019 03:56:27 PM,42.015385991,-87.683013622,"(42.015385991, -87.683013622)"
11724935,JC309259,06/16/2019 07:44:00 PM,079XX S STATE ST,0810,THEFT,OVER $500,GAS STATION,false,false,0623,006,6,44,06,1177660,1852569,2019,06/30/2019 03:56:27 PM,41.750772111,-87.624538423,"(41.750772111, -87.624538423)"
11726386,JC310977,06/18/2019 12:12:00 AM,002XX W 63RD ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,CTA TRAIN,true,false,0711,007,20,68,18,1175827,1863196,2019,06/30/2019 03:56:27 PM,41.779975054,-87.630937377,"(41.779975054, -87.630937377)"
11726116,JC310643,06/17/2019 02:00:00 AM,006XX E WOODLAND PARK,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,OTHER,false,false,0211,002,4,35,17,1181235,1882380,2019,06/30/2019 03:56:27 PM,41.832494605,-87.610519553,"(41.832494605, -87.610519553)"
11727047,JC311713,06/17/2019 04:30:00 PM,026XX S ELEANOR ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0913,009,11,60,14,1168010,1886949,2019,06/30/2019 03:56:27 PM,41.845327489,-87.658912176,"(41.845327489, -87.658912176)"
11730311,JC315557,06/20/2019 04:00:00 PM,028XX S STATE ST,0820,THEFT,$500 AND UNDER,CONSTRUCTION SITE,false,false,0133,001,3,35,06,1176741,1886116,2019,06/30/2019 03:56:27 PM,41.84284906,-87.626895805,"(41.84284906, -87.626895805)"
11729682,JC313909,06/16/2019 04:00:00 PM,0000X N DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,0112,001,42,32,11,1175937,1900516,2019,06/30/2019 03:56:27 PM,41.882381731,-87.629412971,"(41.882381731, -87.629412971)"
11735497,JC321975,06/23/2019 10:00:00 PM,029XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1934,019,44,6,06,1173066,1919714,2019,06/30/2019 04:13:20 PM,41.93512615,-87.639384889,"(41.93512615, -87.639384889)"
11733967,JC320090,06/23/2019 10:00:00 AM,008XX E 46TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0221,002,4,39,06,1182602,1874691,2019,06/30/2019 04:13:20 PM,41.811363763,-87.605742798,"(41.811363763, -87.605742798)"
11731215,JC316707,06/22/2019 07:08:00 AM,026XX W 36TH PL,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),true,false,0911,009,12,58,26,1159279,1880358,2019,06/30/2019 03:56:27 PM,41.827424712,-87.691134841,"(41.827424712, -87.691134841)"
11732950,JC318689,06/22/2019 11:01:00 PM,027XX N ORCHARD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1935,019,43,7,14,1171125,1918519,2019,06/30/2019 03:56:27 PM,41.93188991,-87.646553257,"(41.93188991, -87.646553257)"
11738287,JC325019,06/22/2019 03:00:00 AM,038XX S ELLIS AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,0212,002,4,36,26,1182546,1879717,2019,07/08/2019 04:05:57 PM,41.825156779,-87.60579211,"(41.825156779, -87.60579211)"
11735549,JC321879,06/25/2019 07:16:00 PM,015XX N DAMEN AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,true,false,1424,014,1,24,10,1162786,1910205,2019,08/20/2019 03:59:42 PM,41.909254953,-87.677431424,"(41.909254953, -87.677431424)"
11742060,JC329861,06/29/2019 06:00:00 PM,016XX W LUNT AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2423,024,49,1,07,1164258,1946578,2019,07/19/2019 04:09:50 PM,42.009033068,-87.670991182,"(42.009033068, -87.670991182)"
11745822,JC334501,07/04/2019 01:22:00 PM,075XX S STATE ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,0623,006,6,69,18,1177584,1855006,2019,07/19/2019 04:09:50 PM,41.757461239,-87.62474337,"(41.757461239, -87.62474337)"
11747272,JC336129,07/05/2019 03:43:00 PM,069XX S PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0833,008,13,65,06,1150895,1858332,2019,07/19/2019 04:09:50 PM,41.767149944,-87.722469085,"(41.767149944, -87.722469085)"
11750701,JC340343,07/08/2019 04:43:00 PM,001XX N LECLAIRE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,1532,015,28,25,26,1142366,1900288,2019,07/19/2019 04:09:50 PM,41.882445528,-87.752692592,"(41.882445528, -87.752692592)"
11750665,JC340164,07/08/2019 04:13:00 PM,070XX W GRAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,BANK,false,false,2512,025,29,18,14,1129065,1915181,2019,07/19/2019 04:09:50 PM,41.923550512,-87.801195765,"(41.923550512, -87.801195765)"
11757539,JC348688,07/13/2019 10:00:00 PM,056XX W FULTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1512,015,29,25,14,1138879,1901455,2019,07/20/2019 04:13:10 PM,41.885711953,-87.765468742,"(41.885711953, -87.765468742)"
11757073,JC347919,07/13/2019 09:00:00 PM,013XX W VAN BUREN ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,1231,012,28,28,04B,1167503,1898291,2019,07/20/2019 04:13:10 PM,41.876461817,-87.660446578,"(41.876461817, -87.660446578)"
11760543,JC351859,07/14/2019 03:00:00 PM,011XX W GRACE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,true,1923,019,44,6,08B,1167957,1925482,2019,07/21/2019 04:11:41 PM,41.951065743,-87.657993523,"(41.951065743, -87.657993523)"
11757387,JC348413,07/14/2019 11:42:00 AM,0000X W 69TH ST,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,0731,007,6,69,06,1177279,1859276,2019,07/21/2019 04:11:41 PM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
11756988,JC347945,07/14/2019 02:20:00 AM,032XX W 83RD PL,0460,BATTERY,SIMPLE,STREET,false,false,0834,008,18,70,08B,1156226,1849048,2019,07/21/2019 04:11:41 PM,41.741567607,-87.703177815,"(41.741567607, -87.703177815)"
11760486,JC352079,07/16/2019 07:30:00 PM,075XX S STEWART AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0621,006,6,69,04A,1174929,1855043,2019,07/23/2019 04:21:39 PM,41.757622369,-87.634472427,"(41.757622369, -87.634472427)"
11761650,JC353331,07/17/2019 07:35:00 PM,009XX S ADA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1231,012,28,28,14,1167607,1895957,2019,07/24/2019 04:23:13 PM,41.870054898,-87.660131937,"(41.870054898, -87.660131937)"
11762922,JC354914,07/18/2019 11:50:00 PM,032XX N LONG AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,1634,016,30,15,03,1139797,1920997,2019,07/25/2019 04:14:04 PM,41.939320699,-87.76161926,"(41.939320699, -87.76161926)"
11763308,JC355384,07/19/2019 06:00:00 AM,003XX S LOTUS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1522,015,29,25,08B,1139947,1897650,2019,07/26/2019 04:10:46 PM,41.875251082,-87.761639849,"(41.875251082, -87.761639849)"
11762926,JC354986,07/19/2019 01:42:00 AM,100XX S EWING AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,0432,004,10,52,26,1202145,1839008,2019,07/26/2019 04:10:46 PM,41.712971236,-87.535276254,"(41.712971236, -87.535276254)"
11766743,JC355347,07/19/2019 10:30:00 AM,026XX E 75TH ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,false,false,0334,003,7,43,26,1195067,1855741,2019,07/26/2019 04:10:46 PM,41.75906511,-87.560647478,"(41.75906511, -87.560647478)"
